target	design	reference	n	partial_r	ci_low	ci_high	p	primary	q
TLS9	other_PC1	CD3_IHC	83	0.12009916767499443	-0.0932818851759419	0.33881344648407036	0.2824893367405382	True	0.5649786734810764
TLS9	other_PC1	CD45_protein	108	0.3270655240224371	0.12481021068043627	0.5001169138161415	0.0005848768077668141	True	0.0046790144621345125
TLS9	other_PC1	IFN_protein	108	-0.21939015405378384	-0.37557878143095563	-0.01738569731817417	0.023179058302034226	True	0.037086493283254765
TLS9	other_PC1	IFN_protein_adjusted_CD3_CD45	83	-0.19239985541694474	-0.3738729369752416	0.07881928852487576	0.0873015865844398	True	0.13968253853510368
TLS9	target_gene_disjoint_PC1	CD3_IHC	83	0.12442211231505386	-0.10913825508977014	0.3484350102977072	0.2653960884953758	True	0.5307921769907517
TLS9	target_gene_disjoint_PC1	CD45_protein	108	0.3320661938543439	0.13737316115392795	0.515105543163464	0.00047535071151778103	True	0.0031080598428432464
TLS9	target_gene_disjoint_PC1	IFN_protein	108	-0.20831448015540582	-0.3635138377034752	-0.005819664965442394	0.0313035162134938	True	0.041738021617991734
TLS9	target_gene_disjoint_PC1	IFN_protein_adjusted_CD3_CD45	83	-0.17937651389863876	-0.36507125139336727	0.07083018095178856	0.11136582560099192	True	0.17818532096158707
GEP18	other_PC1	CD3_IHC	83	0.1336414255239336	-0.10996953939037503	0.37003254502499844	0.23131668142923725	True	0.5649786734810764
GEP18	other_PC1	CD45_protein	108	-0.06822173074319023	-0.27306669204000467	0.1910415813775759	0.48504184295988484	True	0.554333534811297
GEP18	other_PC1	IFN_protein	108	0.49214411278655157	0.3067983769896184	0.638994015458661	7.290603594836388e-08	True	2.916241437934555e-07
GEP18	other_PC1	IFN_protein_adjusted_CD3_CD45	83	0.4750034212774594	0.24513180497894052	0.6594974981366495	8.508171625067658e-06	True	3.4032686500270634e-05
GEP18	target_gene_disjoint_PC1	CD3_IHC	83	0.1647102635003727	-0.07376602516286193	0.38047973792545803	0.1392105243709967	True	0.37122806498932454
GEP18	target_gene_disjoint_PC1	CD45_protein	108	-0.03436926010823969	-0.24230373812243736	0.20932313220074591	0.725253397231896	True	0.725253397231896
